Gruntfile.js: line 42, col 30, 'async functions' is only available in ES8 (use 'esversion: 8').
build/public/scripts-client.js: line 1646, col 3, '$' is not defined.
build/public/scripts-client.js: line 1656, col 3, '$' is not defined.
build/public/scripts-client.js: line 1679, col 3, '$' is not defined.
build/public/scripts-client.js: line 1700, col 3, '$' is not defined.
build/public/scripts-client.js: line 1371, col 26, 'utils' is not defined.
build/public/scripts-client.js: line 1401, col 17, 'utils' is not defined.
build/public/scripts-client.js: line 1430, col 15, 'ajaxify' is not defined.
build/public/scripts-client.js: line 1522, col 10, 'ajaxify' is not defined.
build/public/scripts-client.js: line 1522, col 33, 'ajaxify' is not defined.
build/public/scripts-client.js: line 1530, col 26, 'ajaxify' is not defined.
build/public/scripts-client.js: line 1530, col 49, 'ajaxify' is not defined.
build/public/scripts-client.js: line 1572, col 26, 'ajaxify' is not defined.
build/public/scripts-client.js: line 1572, col 46, 'ajaxify' is not defined.
build/public/scripts-client.js: line 1572, col 84, 'ajaxify' is not defined.
build/public/scripts-client.js: line 1573, col 64, 'ajaxify' is not defined.
build/public/scripts-client.js: line 1638, col 7, 'ajaxify' is not defined.
build/public/scripts-client.js: line 1652, col 7, 'ajaxify' is not defined.
build/public/scripts-client.js: line 1670, col 7, 'ajaxify' is not defined.
build/public/scripts-client.js: line 1696, col 7, 'ajaxify' is not defined.
build/public/scripts-client.js: line 1540, col 5, 'socket' is not defined.
build/public/scripts-client.js: line 1545, col 7, 'app' is not defined.
build/public/scripts-client.js: line 1549, col 20, 'app' is not defined.
build/public/scripts-client.js: line 1549, col 59, 'app' is not defined.
build/public/scripts-client.js: line 1016, col 2, 'bootbox' is defined but never used.

build/public/src/admin/admin.js: line 12, col 106, Line is too long.
build/public/src/admin/admin.js: line 150, col 107, Line is too long.
build/public/src/admin/admin.js: line 9, col 1, 'app' is not defined.
build/public/src/admin/admin.js: line 17, col 26, 'app' is not defined.
build/public/src/admin/admin.js: line 19, col 7, '$' is not defined.
build/public/src/admin/admin.js: line 24, col 11, '$' is not defined.
build/public/src/admin/admin.js: line 27, col 11, '$' is not defined.
build/public/src/admin/admin.js: line 43, col 25, '$' is not defined.
build/public/src/admin/admin.js: line 57, col 3, '$' is not defined.
build/public/src/admin/admin.js: line 62, col 5, '$' is not defined.
build/public/src/admin/admin.js: line 76, col 32, '$' is not defined.
build/public/src/admin/admin.js: line 79, col 7, '$' is not defined.
build/public/src/admin/admin.js: line 79, col 36, '$' is not defined.
build/public/src/admin/admin.js: line 82, col 7, '$' is not defined.
build/public/src/admin/admin.js: line 85, col 7, '$' is not defined.
build/public/src/admin/admin.js: line 85, col 24, '$' is not defined.
build/public/src/admin/admin.js: line 91, col 7, '$' is not defined.
build/public/src/admin/admin.js: line 116, col 7, '$' is not defined.
build/public/src/admin/admin.js: line 117, col 20, '$' is not defined.
build/public/src/admin/admin.js: line 155, col 9, '$' is not defined.
